case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,CO_2_Cap_Zone_1,CO_2_Max_Mtons
p1,2030,NENG_Rest,0.344732664,0.434508011,0,0,0,0,1,-1
p1,2030,NY_Z_A,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_B,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_C&E,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_D,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_F,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_G-I,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_J,0,0,0,0,0.7,0.7,1,-1
p1,2030,NY_Z_K,0,0,0,0,0.7,0.7,1,-1
p1,2030,PJM_EMAC,0,0,0.372838,0.372838,0,0,1,-1
p1,2030,PJM_Rest,0,0,0.188785467,0.188785467,0,0,1,-1
p4,2030,NENG_Rest,0.344732664,0.434508011,0,0,0,0,1,1000
p4,2030,NY_Z_A,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_B,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_C&E,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_D,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_F,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_G-I,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_J,0,0,0,0,0.7,0.7,1,1000
p4,2030,NY_Z_K,0,0,0,0,0.7,0.7,1,1000
p4,2030,PJM_EMAC,0,0,0.372838,0.372838,0,0,1,1000
p4,2030,PJM_Rest,0,0,0.188785467,0.188785467,0,0,1,1000