Resource,region,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Min_Share_percent,Max_Share_percent,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Existing_Charge_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,
biomass,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
conventional_hydroelectric,all,,0,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,-1,-1,-1,-1,-1
geothermal,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
hydroelectric_pumped_storage,all,,0,0.866,0.866,1,16,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
natural_gas_fired_combined_cycle,all,,0,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,-1,-1,-1,-1,-1
natural_gas_fired_combustion_turbine,all,,0,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,-1,-1,-1,-1,-1
onshore_wind_turbine,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
small_hydroelectric,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
solar_photovoltaic,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
biomass,all,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
conventional_steam_coal,all,,0,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,-1,-1,-1,-1,-1
naturalgas_ccccsavgcf,all,0.6,0,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,-1,-1,-1,-1,-1
naturalgas_ccs100,all,0.6,0,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,-1,-1,-1,-1,-1
naturalgas_ccavgcf,all,0.2,0,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,-1,-1,-1,-1,-1
naturalgas_ctavgcf,all,0.3,0,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,-1,-1,-1,-1,-1
landbasedwind_class1,all,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
offshorewind_class3,all,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
utilitypv_class1,all,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
battery,all,0,0,0.92,0.92,1,10,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1
nuclear,all,0.5,0,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,-1,-1,-1,-1,-1
natural_gas_steam_turbine,all,,0,1,1,0,0,0,0.57,0.57,24,24,0,-1,-1,-1,-1,-1,-1,-1,-1